DateKey,DateISO,Year,QuarterNumber,QuarterName,MonthNumber,MonthName,DayNumber,DayName
20230101,2023-01-01,2023,1,1,1,01,1,01
20230102,2023-01-02,2023,1,1,1,01,2,02
20230103,2023-01-03,2023,1,1,1,01,3,03
20230104,2023-01-04,2023,1,1,1,01,4,04
20230105,2023-01-05,2023,1,1,1,01,5,05
20230106,2023-01-06,2023,1,1,1,01,6,06
20230107,2023-01-07,2023,1,1,1,01,7,07
20230108,2023-01-08,2023,1,1,1,01,8,08
20230109,2023-01-09,2023,1,1,1,01,9,09
20230110,2023-01-10,2023,1,1,1,01,10,10
20230111,2023-01-11,2023,1,1,1,01,11,11
20230112,2023-01-12,2023,1,1,1,01,12,12
20230113,2023-01-13,2023,1,1,1,01,13,13
20230114,2023-01-14,2023,1,1,1,01,14,14
20230115,2023-01-15,2023,1,1,1,01,15,15
20230116,2023-01-16,2023,1,1,1,01,16,16
20230117,2023-01-17,2023,1,1,1,01,17,17
20230118,2023-01-18,2023,1,1,1,01,18,18
20230119,2023-01-19,2023,1,1,1,01,19,19
20230120,2023-01-20,2023,1,1,1,01,20,20
20230121,2023-01-21,2023,1,1,1,01,21,21
20230122,2023-01-22,2023,1,1,1,01,22,22
20230123,2023-01-23,2023,1,1,1,01,23,23
20230124,2023-01-24,2023,1,1,1,01,24,24
20230125,2023-01-25,2023,1,1,1,01,25,25
20230126,2023-01-26,2023,1,1,1,01,26,26
20230127,2023-01-27,2023,1,1,1,01,27,27
20230128,2023-01-28,2023,1,1,1,01,28,28
20230129,2023-01-29,2023,1,1,1,01,29,29
20230130,2023-01-30,2023,1,1,1,01,30,30
20230131,2023-01-31,2023,1,1,1,01,31,31
20230201,2023-02-01,2023,1,1,2,02,1,01
20230202,2023-02-02,2023,1,1,2,02,2,02
20230203,2023-02-03,2023,1,1,2,02,3,03
20230204,2023-02-04,2023,1,1,2,02,4,04
20230205,2023-02-05,2023,1,1,2,02,5,05
20230206,2023-02-06,2023,1,1,2,02,6,06
20230207,2023-02-07,2023,1,1,2,02,7,07
20230208,2023-02-08,2023,1,1,2,02,8,08
20230209,2023-02-09,2023,1,1,2,02,9,09
20230210,2023-02-10,2023,1,1,2,02,10,10
20230211,2023-02-11,2023,1,1,2,02,11,11
20230212,2023-02-12,2023,1,1,2,02,12,12
20230213,2023-02-13,2023,1,1,2,02,13,13
20230214,2023-02-14,2023,1,1,2,02,14,14
20230215,2023-02-15,2023,1,1,2,02,15,15
20230216,2023-02-16,2023,1,1,2,02,16,16
20230217,2023-02-17,2023,1,1,2,02,17,17
20230218,2023-02-18,2023,1,1,2,02,18,18
20230219,2023-02-19,2023,1,1,2,02,19,19
20230220,2023-02-20,2023,1,1,2,02,20,20
20230221,2023-02-21,2023,1,1,2,02,21,21
20230222,2023-02-22,2023,1,1,2,02,22,22
20230223,2023-02-23,2023,1,1,2,02,23,23
20230224,2023-02-24,2023,1,1,2,02,24,24
20230225,2023-02-25,2023,1,1,2,02,25,25
20230226,2023-02-26,2023,1,1,2,02,26,26
20230227,2023-02-27,2023,1,1,2,02,27,27
20230228,2023-02-28,2023,1,1,2,02,28,28
20230301,2023-03-01,2023,1,1,3,03,1,01
20230302,2023-03-02,2023,1,1,3,03,2,02
20230303,2023-03-03,2023,1,1,3,03,3,03
20230304,2023-03-04,2023,1,1,3,03,4,04
20230305,2023-03-05,2023,1,1,3,03,5,05
20230306,2023-03-06,2023,1,1,3,03,6,06
20230307,2023-03-07,2023,1,1,3,03,7,07
20230308,2023-03-08,2023,1,1,3,03,8,08
20230309,2023-03-09,2023,1,1,3,03,9,09
20230310,2023-03-10,2023,1,1,3,03,10,10
20230311,2023-03-11,2023,1,1,3,03,11,11
20230312,2023-03-12,2023,1,1,3,03,12,12
20230313,2023-03-13,2023,1,1,3,03,13,13
20230314,2023-03-14,2023,1,1,3,03,14,14
20230315,2023-03-15,2023,1,1,3,03,15,15
20230316,2023-03-16,2023,1,1,3,03,16,16
20230317,2023-03-17,2023,1,1,3,03,17,17
20230318,2023-03-18,2023,1,1,3,03,18,18
20230319,2023-03-19,2023,1,1,3,03,19,19
20230320,2023-03-20,2023,1,1,3,03,20,20
20230321,2023-03-21,2023,1,1,3,03,21,21
20230322,2023-03-22,2023,1,1,3,03,22,22
20230323,2023-03-23,2023,1,1,3,03,23,23
20230324,2023-03-24,2023,1,1,3,03,24,24
20230325,2023-03-25,2023,1,1,3,03,25,25
20230326,2023-03-26,2023,1,1,3,03,26,26
20230327,2023-03-27,2023,1,1,3,03,27,27
20230328,2023-03-28,2023,1,1,3,03,28,28
20230329,2023-03-29,2023,1,1,3,03,29,29
20230330,2023-03-30,2023,1,1,3,03,30,30
20230331,2023-03-31,2023,1,1,3,03,31,31
20230401,2023-04-01,2023,2,2,4,04,1,01
20230402,2023-04-02,2023,2,2,4,04,2,02
20230403,2023-04-03,2023,2,2,4,04,3,03
20230404,2023-04-04,2023,2,2,4,04,4,04
20230405,2023-04-05,2023,2,2,4,04,5,05
20230406,2023-04-06,2023,2,2,4,04,6,06
20230407,2023-04-07,2023,2,2,4,04,7,07
20230408,2023-04-08,2023,2,2,4,04,8,08
20230409,2023-04-09,2023,2,2,4,04,9,09
20230410,2023-04-10,2023,2,2,4,04,10,10
20230411,2023-04-11,2023,2,2,4,04,11,11
20230412,2023-04-12,2023,2,2,4,04,12,12
20230413,2023-04-13,2023,2,2,4,04,13,13
20230414,2023-04-14,2023,2,2,4,04,14,14
20230415,2023-04-15,2023,2,2,4,04,15,15
20230416,2023-04-16,2023,2,2,4,04,16,16
20230417,2023-04-17,2023,2,2,4,04,17,17
20230418,2023-04-18,2023,2,2,4,04,18,18
20230419,2023-04-19,2023,2,2,4,04,19,19
20230420,2023-04-20,2023,2,2,4,04,20,20
20230421,2023-04-21,2023,2,2,4,04,21,21
20230422,2023-04-22,2023,2,2,4,04,22,22
20230423,2023-04-23,2023,2,2,4,04,23,23
20230424,2023-04-24,2023,2,2,4,04,24,24
20230425,2023-04-25,2023,2,2,4,04,25,25
20230426,2023-04-26,2023,2,2,4,04,26,26
20230427,2023-04-27,2023,2,2,4,04,27,27
20230428,2023-04-28,2023,2,2,4,04,28,28
20230429,2023-04-29,2023,2,2,4,04,29,29
20230430,2023-04-30,2023,2,2,4,04,30,30
20230501,2023-05-01,2023,2,2,5,05,1,01
20230502,2023-05-02,2023,2,2,5,05,2,02
20230503,2023-05-03,2023,2,2,5,05,3,03
20230504,2023-05-04,2023,2,2,5,05,4,04
20230505,2023-05-05,2023,2,2,5,05,5,05
20230506,2023-05-06,2023,2,2,5,05,6,06
20230507,2023-05-07,2023,2,2,5,05,7,07
20230508,2023-05-08,2023,2,2,5,05,8,08
20230509,2023-05-09,2023,2,2,5,05,9,09
20230510,2023-05-10,2023,2,2,5,05,10,10
20230511,2023-05-11,2023,2,2,5,05,11,11
20230512,2023-05-12,2023,2,2,5,05,12,12
20230513,2023-05-13,2023,2,2,5,05,13,13
20230514,2023-05-14,2023,2,2,5,05,14,14
20230515,2023-05-15,2023,2,2,5,05,15,15
20230516,2023-05-16,2023,2,2,5,05,16,16
20230517,2023-05-17,2023,2,2,5,05,17,17
20230518,2023-05-18,2023,2,2,5,05,18,18
20230519,2023-05-19,2023,2,2,5,05,19,19
20230520,2023-05-20,2023,2,2,5,05,20,20
20230521,2023-05-21,2023,2,2,5,05,21,21
20230522,2023-05-22,2023,2,2,5,05,22,22
20230523,2023-05-23,2023,2,2,5,05,23,23
20230524,2023-05-24,2023,2,2,5,05,24,24
20230525,2023-05-25,2023,2,2,5,05,25,25
20230526,2023-05-26,2023,2,2,5,05,26,26
20230527,2023-05-27,2023,2,2,5,05,27,27
20230528,2023-05-28,2023,2,2,5,05,28,28
20230529,2023-05-29,2023,2,2,5,05,29,29
20230530,2023-05-30,2023,2,2,5,05,30,30
20230531,2023-05-31,2023,2,2,5,05,31,31
20230601,2023-06-01,2023,2,2,6,06,1,01
20230602,2023-06-02,2023,2,2,6,06,2,02
20230603,2023-06-03,2023,2,2,6,06,3,03
20230604,2023-06-04,2023,2,2,6,06,4,04
20230605,2023-06-05,2023,2,2,6,06,5,05
20230606,2023-06-06,2023,2,2,6,06,6,06
20230607,2023-06-07,2023,2,2,6,06,7,07
20230608,2023-06-08,2023,2,2,6,06,8,08
20230609,2023-06-09,2023,2,2,6,06,9,09
20230610,2023-06-10,2023,2,2,6,06,10,10
20230611,2023-06-11,2023,2,2,6,06,11,11
20230612,2023-06-12,2023,2,2,6,06,12,12
20230613,2023-06-13,2023,2,2,6,06,13,13
20230614,2023-06-14,2023,2,2,6,06,14,14
20230615,2023-06-15,2023,2,2,6,06,15,15
20230616,2023-06-16,2023,2,2,6,06,16,16
20230617,2023-06-17,2023,2,2,6,06,17,17
20230618,2023-06-18,2023,2,2,6,06,18,18
20230619,2023-06-19,2023,2,2,6,06,19,19
20230620,2023-06-20,2023,2,2,6,06,20,20
20230621,2023-06-21,2023,2,2,6,06,21,21
20230622,2023-06-22,2023,2,2,6,06,22,22
20230623,2023-06-23,2023,2,2,6,06,23,23
20230624,2023-06-24,2023,2,2,6,06,24,24
20230625,2023-06-25,2023,2,2,6,06,25,25
20230626,2023-06-26,2023,2,2,6,06,26,26
20230627,2023-06-27,2023,2,2,6,06,27,27
20230628,2023-06-28,2023,2,2,6,06,28,28
20230629,2023-06-29,2023,2,2,6,06,29,29
20230630,2023-06-30,2023,2,2,6,06,30,30
20230701,2023-07-01,2023,3,3,7,07,1,01
20230702,2023-07-02,2023,3,3,7,07,2,02
20230703,2023-07-03,2023,3,3,7,07,3,03
20230704,2023-07-04,2023,3,3,7,07,4,04
20230705,2023-07-05,2023,3,3,7,07,5,05
20230706,2023-07-06,2023,3,3,7,07,6,06
20230707,2023-07-07,2023,3,3,7,07,7,07
20230708,2023-07-08,2023,3,3,7,07,8,08
20230709,2023-07-09,2023,3,3,7,07,9,09
20230710,2023-07-10,2023,3,3,7,07,10,10
20230711,2023-07-11,2023,3,3,7,07,11,11
20230712,2023-07-12,2023,3,3,7,07,12,12
20230713,2023-07-13,2023,3,3,7,07,13,13
20230714,2023-07-14,2023,3,3,7,07,14,14
20230715,2023-07-15,2023,3,3,7,07,15,15
20230716,2023-07-16,2023,3,3,7,07,16,16
20230717,2023-07-17,2023,3,3,7,07,17,17
20230718,2023-07-18,2023,3,3,7,07,18,18
20230719,2023-07-19,2023,3,3,7,07,19,19
20230720,2023-07-20,2023,3,3,7,07,20,20
20230721,2023-07-21,2023,3,3,7,07,21,21
20230722,2023-07-22,2023,3,3,7,07,22,22
20230723,2023-07-23,2023,3,3,7,07,23,23
20230724,2023-07-24,2023,3,3,7,07,24,24
20230725,2023-07-25,2023,3,3,7,07,25,25
20230726,2023-07-26,2023,3,3,7,07,26,26
20230727,2023-07-27,2023,3,3,7,07,27,27
20230728,2023-07-28,2023,3,3,7,07,28,28
20230729,2023-07-29,2023,3,3,7,07,29,29
20230730,2023-07-30,2023,3,3,7,07,30,30
20230731,2023-07-31,2023,3,3,7,07,31,31
20230801,2023-08-01,2023,3,3,8,08,1,01
20230802,2023-08-02,2023,3,3,8,08,2,02
20230803,2023-08-03,2023,3,3,8,08,3,03
20230804,2023-08-04,2023,3,3,8,08,4,04
20230805,2023-08-05,2023,3,3,8,08,5,05
20230806,2023-08-06,2023,3,3,8,08,6,06
20230807,2023-08-07,2023,3,3,8,08,7,07
20230808,2023-08-08,2023,3,3,8,08,8,08
20230809,2023-08-09,2023,3,3,8,08,9,09
20230810,2023-08-10,2023,3,3,8,08,10,10
20230811,2023-08-11,2023,3,3,8,08,11,11
20230812,2023-08-12,2023,3,3,8,08,12,12
20230813,2023-08-13,2023,3,3,8,08,13,13
20230814,2023-08-14,2023,3,3,8,08,14,14
20230815,2023-08-15,2023,3,3,8,08,15,15
20230816,2023-08-16,2023,3,3,8,08,16,16
20230817,2023-08-17,2023,3,3,8,08,17,17
20230818,2023-08-18,2023,3,3,8,08,18,18
20230819,2023-08-19,2023,3,3,8,08,19,19
20230820,2023-08-20,2023,3,3,8,08,20,20
20230821,2023-08-21,2023,3,3,8,08,21,21
20230822,2023-08-22,2023,3,3,8,08,22,22
20230823,2023-08-23,2023,3,3,8,08,23,23
20230824,2023-08-24,2023,3,3,8,08,24,24
20230825,2023-08-25,2023,3,3,8,08,25,25
20230826,2023-08-26,2023,3,3,8,08,26,26
20230827,2023-08-27,2023,3,3,8,08,27,27
20230828,2023-08-28,2023,3,3,8,08,28,28
20230829,2023-08-29,2023,3,3,8,08,29,29
20230830,2023-08-30,2023,3,3,8,08,30,30
20230831,2023-08-31,2023,3,3,8,08,31,31
20230901,2023-09-01,2023,3,3,9,09,1,01
20230902,2023-09-02,2023,3,3,9,09,2,02
20230903,2023-09-03,2023,3,3,9,09,3,03
20230904,2023-09-04,2023,3,3,9,09,4,04
20230905,2023-09-05,2023,3,3,9,09,5,05
20230906,2023-09-06,2023,3,3,9,09,6,06
20230907,2023-09-07,2023,3,3,9,09,7,07
20230908,2023-09-08,2023,3,3,9,09,8,08
20230909,2023-09-09,2023,3,3,9,09,9,09
20230910,2023-09-10,2023,3,3,9,09,10,10
20230911,2023-09-11,2023,3,3,9,09,11,11
20230912,2023-09-12,2023,3,3,9,09,12,12
20230913,2023-09-13,2023,3,3,9,09,13,13
20230914,2023-09-14,2023,3,3,9,09,14,14
20230915,2023-09-15,2023,3,3,9,09,15,15
20230916,2023-09-16,2023,3,3,9,09,16,16
20230917,2023-09-17,2023,3,3,9,09,17,17
20230918,2023-09-18,2023,3,3,9,09,18,18
20230919,2023-09-19,2023,3,3,9,09,19,19
20230920,2023-09-20,2023,3,3,9,09,20,20
20230921,2023-09-21,2023,3,3,9,09,21,21
20230922,2023-09-22,2023,3,3,9,09,22,22
20230923,2023-09-23,2023,3,3,9,09,23,23
20230924,2023-09-24,2023,3,3,9,09,24,24
20230925,2023-09-25,2023,3,3,9,09,25,25
20230926,2023-09-26,2023,3,3,9,09,26,26
20230927,2023-09-27,2023,3,3,9,09,27,27
20230928,2023-09-28,2023,3,3,9,09,28,28
20230929,2023-09-29,2023,3,3,9,09,29,29
20230930,2023-09-30,2023,3,3,9,09,30,30
